Site,Plot,Row,Column,Species,C_E_or_T,Rep,Germinate,Done?,Notes
1,A,1,1,TROR,E,1,8,,
1,A,1,2,PLDE,E,1,2,,
1,A,1,3,LARO,E,2,4,,
1,A,1,4,VERO,E,3,7,,
1,A,1,5,HYGL,E,3,0,,
1,A,1,6,TRCY,C,1,0,,
1,A,1,7,PEAI,C,1,6,,
1,A,1,8,PEAI,T,2,10,,
1,A,1,9,PEAI,E,1,1,,
1,A,2,1,ARCA,T,1,6,,
1,A,2,2,PLDE,E,2,1,,
1,A,2,3,LARO,T,2,7,,
1,A,2,4,PLDE,C,1,1,,
1,A,2,5,VERO,C,2,2,,
1,A,2,6,HYGL,C,3,1,,
1,A,2,7,TRCY,E,2,10,,
1,A,2,8,ARCA,C,1,1,,
1,A,2,9,PEAI,E,3,9,,
1,A,3,1,TROR,C,3,1,,
1,A,3,2,VERO,T,2,7,,
1,A,3,3,POLE,E,3,0,,
1,A,3,4,POLE,T,2,0,,
1,A,3,5,HYGL,T,2,0,,
1,A,3,6,TROR,T,2,5,,
1,A,3,7,TRCY,E,3,8,,
1,A,3,8,HYGL,E,2,0,,
1,A,3,9,TROR,T,1,7,,
1,A,4,1,TROR,C,2,0,,
1,A,4,2,PLDE,C,3,5,,
1,A,4,3,POLE,E,1,0,,
1,A,4,4,POLE,T,1,0,,
1,A,4,5,TRCY,C,3,9,,
1,A,4,6,VERO,E,1,2,,
1,A,4,7,LARO,C,3,6,,
1,A,4,8,VERO,C,1,1,,
1,A,4,9,PLDE,T,2,*,,
1,A,5,1,VERO,E,2,1,,
1,A,5,2,TRCY,E,1,9,,
1,A,5,8,POLE,E,2,0,,
1,A,5,9,LARO,C,2,4,,
1,A,6,1,ARCA,C,2,4,,
1,A,6,2,HYGL,E,1,2,,
1,A,6,8,ARCA,T,2,1,,
1,A,6,9,VERO,C,3,1,,
1,A,7,1,HYGL,C,2,0,,
1,A,7,2,HYGL,T,1,0,,
1,A,7,8,ARCA,E,1,5,,
1,A,7,9,ARCA,E,3,2,,
1,A,8,1,PLDE,E,3,2,,
1,A,8,2,PEAI,E,2,7,,
1,A,8,3,ARCA,C,3,2,,
1,A,8,4,ARCA,E,2,8,,
1,A,8,6,LARO,E,1,1,,
1,A,8,7,PEAI,C,3,1,,
1,A,8,8,PLDE,C,2,0,,
1,A,8,9,TROR,E,2,5,,
1,A,9,1,PLDE,T,1,5,,
1,A,9,2,PEAI,T,1,0,,
1,A,9,3,LARO,C,1,2,,
1,A,9,4,POLE,C,2,0,,
1,A,9,6,TRCY,T,2,0,,
1,A,9,7,LARO,E,3,2,,
1,A,9,8,TROR,E,3,1,,
1,A,9,9,TRCY,T,1,14,,
1,A,10,1,LARO,T,1,4,,
1,A,10,2,HYGL,C,1,0,,
1,A,10,3,VERO,T,1,2,,
1,A,10,4,TROR,C,1,7,,
1,A,10,6,TRCY,C,2,10,,
1,A,10,7,PEAI,C,2,0,,
1,A,10,8,POLE,C,3,0,,
1,A,10,9,POLE,C,1,0,,
1,B,1,1,PLDE,T,2,1,,
1,B,1,2,POLE,C,2,0,,
1,B,1,3,TRCY,T,2,0,,
1,B,1,4,TROR,C,1,9,,
1,B,1,5,VERO,T,2,0,,
1,B,1,6,HYGL,E,2,0,,
1,B,1,7,TROR,T,1,1,,
1,B,1,8,ARCA,C,2,2,,
1,B,1,9,HYGL,C,1,1,,
1,B,2,1,VERO,E,3,0,,
1,B,2,2,ARCA,T,1,4,,
1,B,2,3,PLDE,E,2,3,,
1,B,2,4,TRCY,C,3,11,,
