Species,Code,SLA_dry,SLA_wet,WUE,Seeds_dry,Seeds_wet,Height_dry,Height_wet,Density_dry,Density_wet
Plantago debilis,PLDE,28.55185,83.4949,21.33518,9.4324324,18.8333333,1.9405405,2.3285714,22.860465,7.428571
Velleia rosea,VERO,28.21973,26.47065,22.3102,9.7410714,9.6738661,3.9981383,5.0478323,10.19603,7.898855
Arctotheca calendula,ARCA,33.52525,31.20276,22.31723,62,76.6666667,3.28,5.82,16.6,9.875
Hyalosperma glutinosum,HYGL; HYAL,38.72968,42.35371,NA,7.68,17.3333333,4.5969957,5.451087,23.753994,9.89899
Podolepis lessonii,POLE,34.1267,42.88958,25.20662,75.5,11.4285714,1.7666667,2.6,14,8.363636
Pentameris airoides,PEAI,40.15284,39.50576,23.84012,39.3166667,16.3863636,3.0782353,2.9786885,16.161616,12.289855
Goodenia berardiana,GOBE,23.76706,NA,23.1955,12.8125,11.6,7.2888889,NA,8.666667,NA
Trachymene cyanopetala,TRCY,NA,NA,20.94855,4.4,NA,NA,NA,NA,NA
Podolepis canescens,POCA,24.77043,23.54532,22.78581,36.9459459,64.3763441,9.3363636,9.6612245,13.666667,9.93578
Hypochaeris glabra,HYPO,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lawrencella rosea,LARO,NA,NA,23.15646,NA,NA,NA,NA,NA,NA
Schoenia cassiniana,SCCA,NA,NA,23.80258,NA,NA,NA,NA,NA,NA
Dauchus glochidiatus,DAGL,NA,NA,22.41229,NA,NA,NA,NA,NA,NA
NA,TROR,NA,NA,22.20219,NA,NA,NA,NA,NA,NA
