Row,Column,Species,C_E_or_T,Rep,No_germinants_200720,Notes_200720,Notes_thinning_290720,No_germinants_290720
1,1,PLDE,T,2,1,,,1
1,2,POLE,C,2,0,,,0
1,3,TRCY,T,2,0,,,0
1,4,TROR,C,1,9,,Dead,9
1,5,VERO,T,2,0,,,0
1,6,HYGL,E,2,0,,,0
1,7,TROR,T,1,1,,Almost dead,1
1,8,ARCA,C,2,2,,,2
1,9,HYGL,C,1,1,,,1
2,1,VERO,E,3,0,,,0
2,2,ARCA,T,1,4,,,4
2,3,PLDE,E,2,3,,,3
2,4,TRCY,C,3,11,,,11
2,5,POLE,E,2,1?,Monitor,2? Not my seed? Not thinned,2?
2,6,HYGL,E,3,1?,Very early germinant. Check ID.,0,0
2,7,HYGL,E,1,2,,,2
2,8,TROR,C,3,10,,Dead,10
2,9,ARCA,E,1,5,,Plus two germinants,7
3,1,HYGL,T,2,0,,,0
3,2,POLE,C,1,0,Not sure if done,,0
3,3,PLDE,E,1,8,,,8
3,4,PEAI,E,1,7,Accidentally pulled it all out.,,7
3,5,LARO,C,3,6,,,6
3,6,PEAI,T,1,2,,Swapped with PEAI C3,2
3,7,LARO,E,3,4,,Budding,4
3,8,TRCY,C,2,8,,,8
3,9,HYGL,C,2,0,,,0
4,1,TROR,T,2,6,,,6
4,2,HYGL,C,3,2,,,2
4,3,TRCY,E,2,5,,Dead (almost entirely),5
4,4,ARCA,C,3,1,,,1
4,5,TROR,E,3,1,,,1
4,6,PEAI,C,1,4,,,4
4,7,LARO,C,1,4,1 of which very dead,Budding,4
4,8,VERO,E,1,0,,1,1
4,9,PLDE,C,1,9,,,9
5,1,TROR,E,1,1,,,1
5,2,PLDE,T,1,8,,,8
5,8,VERO,E,2,3,,,3
5,9,LARO,E,2,8,,,8
6,1,PEAI,C,3,0,,,0
6,2,HYGL,T,1,0,,,0
6,8,LARO,T,1,4,,,4
6,9,POLE,E,1,0,,,0
7,1,TROR,C,2,3,,Almost dead,3
7,2,TRCY,C,1,10,,,10
7,8,POLE,T,2,2,Is the big one POLE? (removed it),Swapped with POLE C3,2
7,9,PEAI,T,2,0,,,0
8,1,VERO,C,3,5,,,5
8,2,ARCA,T,2,6,Bit of dodder,Swapped with ARCA C1,6
8,3,LARO,C,2,7,,,7
8,4,TRCY,E,1,14,,,14
8,6,ARCA,C,1,0,,,0
8,7,ARCA,E,3,1,,,1
8,8,ARCA,E,2,7,,,7
8,9,POLE,T,1,2,,Swapped with POLE E3,2
9,1,VERO,T,1,0,,,0
9,2,TRCY,E,3,11,,,11
9,3,LARO,T,2,4,1 of which very dead,,4
9,4,PLDE,C,3,1,,Swapped with PLDE E1,1
9,6,VERO,C,2,1,,,1
9,7,PLDE,C,2,4,,,4
9,8,PEAI,E,2,4,,Plus one germinant,5
9,9,PLDE,E,3,5,,,5
10,1,TROR,E,2,6,,,6
10,2,PEAI,C,2,0,,,0
10,3,TRCY,T,1,11,,,11
10,4,PEAI,E,3,3,,,3
10,6,LARO,E,1,9,Some roo action,,9
10,7,POLE,C,3,0,,,0
10,8,POLE,E,3,NA,Plot trampled - kangaroo,,NA
10,9,VERO,C,1,1,,,1
