Row,Column,Species,C_E_or_T,Rep,No_germinants_200720,Notes_200720,Notes_thinning_310720,No_germinants_130820,Budding_or_flowering_130820
1,1,HYGL,E,3,2,,Dead,2,
1,2,TRCY,E,3,4,,,4,
1,3,POLE,T,2,0,,,0,
1,4,TROR,E,1,2,Both very dead,Dead. Swapped with TROR T1,2,
1,5,ARCA,C,3,1,,No neighbours. Swapped with ARCA T1,1,
1,6,LARO,E,3,2,May die (focal),Almost dead,2,
1,7,PLDE,T,2,NA,,,NA,
1,8,POLE,E,1,1,May be coincidental - if its another species,Not sure. Check.,1,
1,9,VERO,E,3,5,,,5,
2,1,HYGL,C,3,2,,Dead,2,
2,2,HYGL,T,1,1,,Still tiny,1,
2,3,VERO,E,1,1,,,1,
2,4,PEAI,C,3,2,,Dead. Swapped with PEAI T1,2,
2,5,VERO,C,3,1,,Almost entirely dead - eaten,1,
2,6,TRCY,E,2,8,,,8,
2,7,HYGL,E,2,0,,Swapped with HYGL T2,0,
2,8,HYGL,T,2,1,Check,Likely to die,1,
2,9,ARCA,C,2,4,,,4,
3,1,TROR,T,1,5,,,5,
3,2,PLDE,T,1,NA,,,NA,
3,3,ARCA,E,1,3,,,3,
3,4,VERO,C,1,8,,,8,
3,5,LARO,E,1,1,,Dead,1,
3,6,LARO,C,3,1,,"Almost dead, no neighbours. Swapped with LARO T2",1,
3,7,TRCY,E,1,2,,,2,
3,8,VERO,T,2,4,,,4,
3,9,LARO,T,2,3,,,3,
4,1,PEAI,C,1,0,,Swapped with PEAI T2,0,
4,2,PLDE,E,1,NA,,,NA,
4,3,PEAI,T,2,4,,,4,
4,4,HYGL,C,2,1,,Dead,1,
4,5,POLE,C,3,0,,,0,
4,6,TROR,E,3,4,,,4,
4,7,POLE,C,2,0,,,0,
4,8,ARCA,E,3,1,,Almost dead,1,
4,9,PLDE,E,3,NA,,,NA,
5,1,PEAI,C,2,2,,,2,
5,2,LARO,C,2,7,,Budding. Being eaten right now!!,7,Budding
5,8,LARO,E,2,2,,,2,Budding
5,9,PLDE,C,2,NA,,,NA,
6,1,ARCA,T,1,3,,,3,
6,2,TRCY,T,1,15,,,15,
6,8,TROR,C,3,7,,,7,
6,9,POLE,E,3,0,,,0,
7,1,TROR,C,1,7,,,7,
7,2,VERO,T,1,6,,,6,Budding
7,8,TRCY,C,1,6,,,6,
7,9,POLE,C,1,0,,,0,
8,1,HYGL,E,1,4,"Too young to tell. Check. Nah, HYGL. Same as other plots",Dead,4,
8,2,ARCA,C,1,7,,,7,
8,3,ARCA,E,2,4,,,4,
8,4,LARO,C,1,2,,,2,
8,6,POLE,E,2,1,May be WAAC? Perfect location in subplot though,Looks like WAAC. Thinned anyway,1,
8,7,ARCA,T,2,7,,,7,
8,8,PLDE,C,1,NA,,,NA,
8,9,PEAI,T,1,4,,Plus three germinants,7,
9,1,VERO,E,2,0,,Swapped with VERO T1,0,
9,2,HYGL,C,1,0,,Swapped with HYGL T1,0,
9,3,POLE,T,1,0,,,0,
9,4,TRCY,T,2,0,,,0,
9,6,TRCY,C,3,9,,No neighbours. Swapped with TRCY T1,9,
9,7,PEAI,E,3,3,,,3,
9,8,TROR,E,2,1,,,1,
9,9,TRCY,C,2,10,,Likely to die,10,
10,1,TROR,T,2,1,,,1,
10,2,PLDE,E,2,NA,,,NA,
10,3,PLDE,C,3,NA,,,NA,
10,4,TROR,C,2,3,,,3,
10,6,PEAI,E,1,5,,,5,
10,7,PEAI,E,2,3,,,3,
10,8,LARO,T,1,4,,,4,
10,9,VERO,C,2,0,,Swapped with VERO T2,0,
