Row,Column,Species,C_E_or_T,Rep,No_germinants_200720_210720,Notes_200720_210720,Notes_thinning_310720,No_germinants_130820,Budding_or_flowering_130820
1,1,PLDE,C,2,NA,,,NA,
1,2,VERO,T,2,9,,,9,Budding
1,3,TRCY,T,1,5,,,5,
1,4,TRCY,E,1,13,,,13,Budding
1,5,PEAI,T,1,14,,,14,
1,6,TRCY,C,3,2,,,2,
1,7,LARO,E,2,10,,,10,
1,8,HYGL,T,2,3,,,3,
1,9,HYGL,E,3,3,,,3,Budding
2,1,TRCY,T,2,8,,,8,
2,2,HYGL,T,1,2,,"Two flower buds, one of which broken off",2,
2,3,LARO,T,2,12,,,12,
2,4,LARO,E,1,6,,,6,
2,5,ARCA,C,2,8,,,8,
2,6,ARCA,E,2,6,,,6,
2,7,VERO,E,1,4,,,4,
2,8,HYGL,E,1,4,,Budding,4,Flowering
2,9,PEAI,E,1,10,,,10,
3,1,PEAI,C,3,7,,,7,
3,2,LARO,C,3,9,,,9,Mould? White fluff like powdery mildew
3,3,HYGL,C,3,0,,Swapped with HYGL T1,0,
3,4,TROR,C,2,11,,,11,
3,5,ARCA,T,2,12,,,12,
3,6,ARCA,E,3,2,Bit of dodder,,2,
3,7,POLE,T,1,0,,,0,
3,8,PEAI,E,2,10,,,10,
3,9,TROR,T,2,11,,,11,
4,1,HYGL,E,2,4,,,4,
4,2,HYGL,C,2,4,,Dodder,4,Budding
4,3,LARO,T,1,5,,,5,
4,4,ARCA,E,1,4,,,4,
4,5,TROR,E,1,6,,,6,
4,6,LARO,C,1,6,Focal budding,,6,Flowering
4,7,PEAI,T,2,7,,,7,
4,8,POLE,E,3,0,,,0,
4,9,VERO,T,1,12,,,12,
5,1,ARCA,C,3,3,,,3,
5,2,PEAI,C,2,1?,1. Not sure if focal - check,Cluster,7,
5,8,PLDE,C,3,NA,,,NA,
5,9,TROR,E,2,12,,,12,
6,1,VERO,E,2,6,,,6,
6,2,TRCY,C,2,7,,,7,
6,8,ARCA,T,1,6,21-Jul,Plus one new germinant,7,
6,9,PLDE,C,1,NA,,,NA,
7,1,HYGL,C,1,1,New germ,Dead. Swapped with HYGL T2,1,
7,2,POLE,C,1,0,,,0,
7,8,PLDE,T,2,NA,,,NA,
7,9,VERO,C,3,1,Not sure my seed,,1,
8,1,TRCY,E,2,6,,,6,
8,2,TROR,C,3,6,21-Jul,,6,
8,3,PEAI,E,3,5,21-Jul,Plus three new germs,8,
8,4,PLDE,E,2,NA,,,NA,
8,6,TROR,T,1,7,21-Jul,,7,
8,7,TRCY,C,1,11,Dodder 21/7,,11,
8,8,POLE,E,2,0,,,0,
8,9,TROR,E,3,7,21-Jul,,7,Budding
9,1,PLDE,E,1,NA,,,NA,
9,2,PLDE,T,1,NA,,,NA,
9,3,ARCA,C,1,2,,,2,
9,4,POLE,C,3,0,,,0,
9,6,VERO,E,3,7,,,7,
9,7,VERO,C,2,3,Bit of dodder,,3,Budding
9,8,TROR,C,1,9,,,9,Budding
9,9,POLE,E,1,0,21-Jul,Swapped with POLE T2,0,
10,1,PLDE,E,3,NA,,,NA,
10,2,LARO,E,3,0,,Swapped with LARO T1,0,
10,3,PEAI,C,1,6,21-Jul,,6,
10,4,LARO,C,2,3,,Dodder,3,
10,6,VERO,C,1,6,,,6,
10,7,TRCY,E,3,11,,,11,
10,8,POLE,T,2,2,,,2,
10,9,POLE,C,2,6,,"Black edge around leaves, furry stem",6,Budding
