Row,Column,Species,C_E_or_T,Rep,No_germinants_190720,Notes_190720,Notes_thinning_020820,No_germinants_130820,Budding_or_flowering_130820
1,1,TROR,C,3,5,,,5,
1,2,TRCY,C,3,0,,,0,
1,3,POLE,C,2,0,,,0,
1,4,TROR,T,1,0,,,0,
1,5,LARO,T,2,6,Four of which totally eaten,,6,
1,6,ARCA,C,1,6,Dodder,Dodder,6,
1,7,PLDE,E,2,NA,,,NA,
1,8,TROR,E,2,0,,,0,
1,9,POLE,T,2,1,Probably not my seed,Unlikely,0,
2,1,PLDE,C,2,NA,,,NA,
2,2,PEAI,T,1,0,,,0,
2,3,HYGL,C,3,0,,Swapped with HYGL T1,0,
2,4,POLE,C,1,0,,,0,
2,5,PLDE,C,1,NA,,,NA,
2,6,ARCA,C,2,8,,,8,
2,7,TRCY,C,1,0,,"Swapped with TRCY T1 then with TRCY E3. Now 3, 6",0,
2,8,TRCY,T,1,1,,No neighbours,1,
2,9,PEAI,T,2,1,,,1,
3,1,VERO,C,2,0,,,0,
3,2,Blank,,,NA,,,NA,
3,3,VERO,C,3,0,,Swapped with VERO T2,0,
3,4,PEAI,C,2,1,,,1,
3,5,POLE,E,2,0,,,0,
3,6,TRCY,E,3,4,,,4,
3,7,POLE,C,3,0,,,0,
3,8,HYGL,T,1,4,,One leaf,4,New germ? 2 leaves
3,9,POLE,E,1,0,,,0,
4,1,LARO,C,1,3,,Unhealthy. No neighbours,3,
4,2,PEAI,C,3,7,,,7,
4,3,TRCY,E,2,0,,,0,
4,4,VERO,E,1,1,,,1,
4,5,VERO,T,1,4,,Dead,4,
4,6,PEAI,E,2,4,,,4,
4,7,HYGL,T,2,4,,,4,
4,8,ARCA,T,1,2,,,2,
4,9,PEAI,E,1,5,,,5,
5,1,LARO,E,3,6,,Swapped with LARO C1,6,Budding
5,2,HYGL,C,1,1,,,1,
5,8,LARO,E,1,7,,Budding,7,Top eaten
5,9,PEAI,E,3,6,,,6,
6,1,TROR,E,1,0,,,0,
6,2,ARCA,E,3,8,,,8,
6,8,POLE,E,3,1,Check mine. Dodder,Unlikely. Dead,1,
6,9,POLE,T,1,0,,,0,
7,1,TRCY,C,2,0,,,0,
7,2,VERO,E,2,2,,,2,Budding
7,8,ARCA,T,2,4,,Dodder,4,
7,9,HYGL,E,1,0,,On an ants nest. Swapped with HYGL T2,0,
8,1,ARCA,C,3,4,,,4,
8,2,VERO,E,3,5,,,5,
8,3,HYGL,E,3,1,,,1,
8,4,PLDE,T,2,NA,,,NA,
8,6,PLDE,E,3,NA,,,NA,
8,7,ARCA,E,2,0,,Swapped with ARCA T2,0,
8,8,HYGL,C,2,2?,New germs? Check,Nothing,2?,
8,9,VERO,T,2,4,,Almost dead. Dodder,4,
9,1,TROR,T,2,0,,,0,
9,2,LARO,C,3,3,,Unhealthy. One neighbour,3,
9,3,TROR,C,2,1,,One neighbour,1,
9,4,TRCY,E,1,0,,,0,
9,6,PEAI,C,1,1,,Plus four germinants,5,
9,7,Blank,,,NA,,,NA,
9,8,VERO,C,1,5,Swapped,,5,Budding
9,9,LARO,E,2,6,,Almost dead,6,
10,1,HYGL,E,2,3,,,3,
10,2,PLDE,E,1,NA,,,NA,
10,3,LARO,C,2,6,,Almost dead. Dodder,6,
10,4,LARO,T,1,5,,Budding,5,Flowering
10,6,TRCY,T,2,0,,,0,
10,7,TROR,C,1,0,,,0,
10,8,ARCA,E,1,2,,,2,
10,9,TROR,E,3,0,,,0,
