Row,Column,Species,C_E_or_T,Rep,No_germinants_190720,Notes_190720,Notes_thinning_020820,No_germinants_130820,Budding_or_flowering_130820
1,1,ARCA,T,2,4,,Swapped with ARCA E1,4,
1,2,PEAI,T,2,6,Tiny,Dead,6,
1,3,PLDE,T,2,NA,,,NA,
1,4,ARCA,E,3,7,,,7,
1,5,PLDE,E,3,NA,,,NA,
1,6,TROR,E,2,0,,,0,
1,7,ARCA,C,2,2,,One neighbour,2,
1,8,TRCY,E,1,1,Likely to die,Alive,1,
1,9,PEAI,E,1,0,,Swapped to PEAI T1,0,
2,1,TRCY,C,3,1,,,1,
2,2,POLE,C,3,0,,,0,
2,3,POLE,E,1,0,,,0,
2,4,LARO,T,1,1,,Budding,1,Flowering. Seeds?!
2,5,VERO,T,1,2,,,2,
2,6,VERO,T,2,0,,,0,
2,7,ARCA,T,1,0,,,0,
2,8,TROR,E,1,0,,,0,
2,9,HYGL,C,2,0,,,0,
3,1,LARO,C,1,5,,Budding,5,Budding
3,2,HYGL,T,1,2,,,2,Budding
3,3,PLDE,C,1,NA,,,NA,
3,4,HYGL,E,2,0,,Swapped with HYGL T1,0,
3,5,PEAI,C,1,8,,,8,
3,6,POLE,E,2,0,,,0,
3,7,PLDE,E,1,NA,,,NA,
3,8,TROR,T,1,0,,,0,
3,9,HYGL,T,2,0,,,0,
4,1,LARO,E,3,6,,Budding,6,Budding
4,2,LARO,C,2,1,,Budding,1,Budding
4,3,LARO,E,1,2,,,2,
4,4,POLE,C,1,0,,,0,
4,5,VERO,E,2,1,,,1,
4,6,POLE,C,2,0,,,0,
4,7,PLDE,C,2,NA,,,NA,
4,8,ARCA,C,3,7,,Dead,7,
4,9,VERO,C,3,0,,,0,
5,1,PLDE,T,1,NA,,,NA,
5,2,POLE,T,2,0,,,0,
5,8,PEAI,E,2,6,,,6,
5,9,TRCY,E,3,0,,Swapped with TRCY T1,0,
6,1,TROR,T,2,2,,Swapped with TROR C3. One neighbour,2,
6,2,TROR,C,3,0,,,0,
6,8,PEAI,T,1,9,,Plus one germinant,10,
6,9,HYGL,E,3,0,,,0,
7,1,LARO,E,2,1,,Swapped with VERO T1,1,Flowering.
7,2,VERO,E,1,0,,,0,
7,8,VERO,C,2,0,,,0,
7,9,PEAI,C,3,3,,,3,
8,1,HYGL,C,3,0,,,0,
8,2,ARCA,E,2,2,,Dead,2,
8,3,LARO,C,3,8,,Budding,8,Budding
8,4,TROR,E,3,0,,,0,
8,6,PEAI,C,2,0,Swapped,,0,
8,7,Blank,,,NA,,,NA,
8,8,ARCA,C,1,0,,,0,
8,9,POLE,T,1,0,,,0,
9,1,VERO,C,1,3,,,3,Budding
9,2,PEAI,E,3,3,,,3,
9,3,HYGL,C,1,1,,No neighbours,1,Budding
9,4,TRCY,T,1,3,,,3,Budding
9,6,Blank,,,NA,,,NA,
9,7,TRCY,E,2,2?,"Left both, check IDs",One alive,1,
9,8,LARO,T,2,4,,,4,
9,9,TRCY,C,2,11,,1 TRCY neighbour,11,
10,1,POLE,E,3,0,,,0,
10,2,TRCY,C,1,8,Could be three more. See photo.,Assuming not,8,Flowering. Seeds?!
10,3,TRCY,T,2,3,,,3,
10,4,HYGL,E,1,0,,,0,
10,6,TROR,C,1,0,,,0,
10,7,VERO,E,3,0,,,0,
10,8,ARCA,E,1,0,Swapped,,0,
10,9,TROR,C,2,0,,,0,
