Sample,Code,Species,sample,location,year,notes,?13CVPDB‰,delta
JD-FEB19-45,ARCA,Arctotheca calendula,1PER,Perenjori,2018,,-29.91504647,22.59085289
JD-FEB19-46,ARCA,Arctotheca calendula,2PER,Perenjori,2018,,-29.67743058,22.34043736
JD-FEB19-47,ARCA,Arctotheca calendula,3PER,Perenjori,2018,,-29.37357468,22.02039232
JD-FEB19-36,BEGR,Bellida graminea,1CS,Camelsoak,2018,,-30.56198722,23.27326443
JD-FEB19-37,BEGR,Bellida graminea,2CS,Camelsoak,2018,,-30.74051466,23.46174064
JD-FEB19-38,BEGR,Bellida graminea,3CS,Camelsoak,2018,,-30.73679216,23.45780999
JD-FEB19-84,BRPE,Brachyscome perpusilla,123PER,Perenjori,2018,bulked,-29.86057407,22.53343538
JD-FEB19-27,BRTO,Brassica tournefortii,1PER,Perenjori,2018,,-30.02471068,22.70646575
JD-FEB19-28,BRTO,Brassica tournefortii,2PER,Perenjori,2018,,-28.46944011,21.06927044
JD-FEB19-29,BRTO,Brassica tournefortii,3PER,Perenjori,2018,,-28.55007688,21.15402595
JD-FEB19-90,BUSE,Bulbine semibarbata,2PER,Perenjori,2018,,-30.1808805,22.87115201
JD-FEB19-85,CAMU,Calotis multicaulis,1CS,Camelsoak,2018,,-31.4743365,24.23718585
JD-FEB19-79,CEOB,Ceratogyne obionoides,1PER,Perenjori,2018,,-31.72352928,24.50078051
JD-FEB19-80,CEOB,Ceratogyne obionoides,2PER,Perenjori,2018,,-28.66649823,21.27641865
JD-MAY19-69,Ceph,Cephalipterum drummondii,1CS,Camelsoak,2018,,-30.3,23.01009906
JD-FEB19-76,CHAU,Cheilanthes austrotenuifolia,1PER,Perenjori,2018,,-29.10996993,21.74290525
JD-FEB19-03,CRCO,Crassula colorata,21PER,Perenjori,2018,not c3,-29.68786727,22.35143367
JD-FEB19-94,DAGL,Daucus glochidiatus,3PER,Perenjori,2018,,-29.53648907,22.1919617
JD-FEB19-95,DAGL,Daucus glochidiatus,2PER,Perenjori,2018,,-29.95467308,22.63262599
JD-SEP18,ERCY,Erodium cygnorum,1PER,Perenjori,2018,,-29,21.62718847
JD-SEP18,ERCY,Erodium cygnorum,2PER,Perenjori,2018,,-28.3,20.89122157
JD-SEP18,ERCY,Erodium cygnorum,3PER,Perenjori,2018,,-28.5,21.1013896
JD-FEB19-96,GIOS,Gilruthia osbornei,1CS,Camelsoak,2018,,-31.79020173,24.57132925
JD-FEB19-15,GOBE,Goodenia berardiana,1PERSAND,Perenjori,2018,,-29.69597397,22.35997522
JD-FEB19-16,GOBE,Goodenia berardiana,2PERSAND,Perenjori,2018,,-29.81740525,22.48793719
JD-FEB19-17,GOBE,Goodenia berardiana,3PERSAND,Perenjori,2018,,-30.89221612,23.62195052
JD-FEB19-68,GOBE,Goodenia berardiana,2PERLOAM,Perenjori,2018,,-31.54520675,24.31213817
JD-FEB19-21,GOPU,Goodenia pusilliflora,1PER,Perenjori,2018,,-29.43710491,22.08729081
JD-FEB19-21,GOPU,Goodenia pusilliflora,1PER,Perenjori,2018,duplicate,-29.50060185,22.154163
JD-FEB19-22,GOPU,Goodenia pusilliflora,2PER,Perenjori,2018,,-29.12853272,21.76244068
JD-FEB19-23,GOPU,Goodenia pusilliflora,3PER,Perenjori,2018,,-29.38569519,22.03315476
