Date surveyed,Site,Plot,Species,C_E_or_T,Rep,"Phenology (I, B, F, S)",Neighbour_sp,Neighbour_count,Number neighbours flowering or seeding,Notes
15/09/2020,1,C,PLDE,C,2,S,WAAC,2,2,
15/09/2020,1,C,PLDE,C,2,S,POLE,1,0,
15/09/2020,1,C,PLDE,C,2,S,BUSI,1,0,
15/09/2020,1,C,PLDE,C,2,S,CRCO,1,0,
15/09/2020,1,C,TRCY,C,3,S,TROR,2,2,
15/09/2020,1,C,TRCY,C,3,S,WAAC,2,2,
15/09/2020,1,C,TRCY,C,3,S,GOVE,1,1,
15/09/2020,1,C,TRCY,C,3,S,CAER,1,0,
15/09/2020,1,C,VERO,C,3,S,GOBE,1,1,
15/09/2020,1,C,VERO,C,3,S,TROR,1,1,
15/09/2020,1,C,PLDE,E,1,NA,NA,NA,NA,"Dead, gone"
15/09/2020,1,C,PEAI,E,1,I,NA,NA,NA,Almost dead?
15/09/2020,1,C,LARO,E,3,F,NA,NA,NA,
15/09/2020,1,C,ARCA,C,1,F,NA,NA,NA,Check
15/09/2020,1,C,TROR,C,1,NA,POLE,1,1,"Old E - dead, gone. Roo damage"
15/09/2020,1,C,TRCY,E,3,S,NA,NA,NA,
15/09/2020,1,C,PEAI,C,2,I,PEAI,1,0,
15/09/2020,1,C,PEAI,C,2,I,WAAC,1,1,
15/09/2020,1,C,PEAI,C,2,I,POLE,2,1,
15/09/2020,1,C,PEAI,C,2,I,BUSI,1,1,
15/09/2020,1,C,PEAI,C,2,I,GOBE,1,1,
15/09/2020,1,C,PEAI,C,2,I,CAER,1,0,
15/09/2020,1,C,VERO,C,1,S,WAAC,1,1,Watch seed dropping. Waiting for bud. Photo taken
15/09/2020,1,C,VERO,C,1,S,BUSI,1,1,
15/09/2020,1,C,VERO,C,1,S,POLE,1,1,
15/09/2020,1,C,VERO,C,1,S,CRCO,2,0,
15/09/2020,1,C,PLDE,C,3,S,GOBE,1,1,"Almost dead, collect soon"
15/09/2020,1,C,PLDE,C,3,S,PLDE,1,1,
15/09/2020,1,C,TRCY,E,2,S?,NA,NA,NA,"Tiny, almost dead"
15/09/2020,1,C,VERO,E,1,F,NA,NA,NA,"Is that VERO? Very purple flowers. Yes, I think so"
15/09/2020,1,C,TROR,E,1,S,NA,NA,NA,
15/09/2020,1,C,LARO,C,1,F,VERO,1,1,
15/09/2020,1,C,ARCA,E,2,I,NA,NA,NA,
15/09/2020,1,C,LARO,C,3,F,VERO,2,2,
15/09/2020,1,C,VERO,E,3,NA,NA,NA,NA,Probably not my seed
15/09/2020,1,C,TRCY,C,1,S,VERO,1,1,
15/09/2020,1,C,TRCY,C,1,S,UNK 26,1,0,
15/09/2020,1,C,TROR,T,2,NA,NA,NA,NA,"Dead, gone"
15/09/2020,1,C,PLDE,E,2,S,NA,NA,NA,
15/09/2020,1,C,PEAI,E,2,I,NA,NA,NA,
15/09/2020,1,C,TROR,E,3,NA,NA,NA,NA,"Dead, gone"
15/09/2020,1,C,LARO,E,1,S,NA,NA,NA,
15/09/2020,5,B,ARCA,T,1,B,NA,NA,NA,
15/09/2020,5,B,TRCY,E,3,S,NA,NA,NA,
15/09/2020,5,B,VERO,E,1,F,NA,NA,NA,
15/09/2020,5,B,VERO,C,3,B,PTGA,1,1,
15/09/2020,5,B,VERO,C,3,B,POCA,1,0,
15/09/2020,5,B,TROR,E,1,S,NA,NA,NA,
15/09/2020,1,C,VERO,C,2,S,WAAC,4,4,Focal almost dead
15/09/2020,1,C,VERO,C,2,S,BUSI,3,3,
15/09/2020,1,C,VERO,C,2,S,ANTO,1,0,
15/09/2020,1,C,VERO,C,2,S,TROR,1,1,
15/09/2020,1,C,LARO,T,2,F,NA,NA,NA,
15/09/2020,1,C,VERO,E,2,S,NA,NA,NA,
15/09/2020,1,C,PEAI,C,3,B,WAAC,3,0,
15/09/2020,1,C,PEAI,C,3,B,CAHI,1,1,
15/09/2020,1,C,PEAI,C,3,B,BUSI,15,15,
15/09/2020,1,C,PEAI,C,3,B,PEAI,1,1,
15/09/2020,1,C,PEAI,C,3,B,TROR,2,1,
15/09/2020,1,C,PEAI,C,3,B,PLDE,1,1,
15/09/2020,1,C,PEAI,C,3,B,CAER,5,0,
15/09/2020,1,C,PEAI,C,3,B,CRCO,1,0,
15/09/2020,1,C,PEAI,C,3,B,UNK 26,2,0,Buds or flowers?
15/09/2020,1,C,PEAI,C,3,B,Cheilanthes,1,0,
15/09/2020,1,C,ARCA,E,3,F,NA,NA,NA,Check
15/09/2020,1,C,POLE,E,1,F,NA,NA,NA,
15/09/2020,1,C,TROR,C,3,S,VERO,1,1,Old T
15/09/2020,1,C,TROR,C,3,S,POLE,1,0,
15/09/2020,1,C,TROR,C,3,S,WAAC,2,2,
15/09/2020,1,C,TROR,C,3,S,BUSI,2,1,
15/09/2020,1,C,PEAI,C,1,F,POLE,1,1,
