Identifier,Species,Collection_site,Collection_plot
1,ARCA,A,NA
2,ARCA,B,NA
3,ARCA,C,NA
4,ARCA,D,NA
5,ARCA,E,NA
6,ARCA,F,NA
7,LARO,A,NA
8,LARO,B,NA
9,LARO,C,NA
10,LARO,D,NA
11,LARO,E,NA
12,LARO,F,NA
13,TRCY,A,NA
14,TRCY,B,NA
15,TRCY,C,NA
16,TRCY,D,NA
17,TRCY,E,NA
18,TRCY,F,NA
19,POLE,A,NA
20,POLE,C,NA
21,POLE,D,NA
22,POLE,E,NA
23,POLE,F,NA
24,PEAI,A,NA
25,PEAI,B,NA
26,PEAI,C,NA
27,PEAI,D,NA
28,PEAI,E,NA
29,PEAI,F,NA
30,TROR,A,NA
31,TROR,B,NA
32,TROR,C,NA
33,TROR,D,NA
34,TROR,E,NA
35,TROR,F,NA
36,VERO,1,A
37,VERO,1,B
38,VERO,1,C
39,VERO,2,A
40,VERO,2,B
41,VERO,2,C
42,VERO,3,A
43,VERO,3,C
44,VERO,6,A
45,VERO,6,B
46,VERO,6,C
47,VERO,7,A
48,VERO,7,B
49,VERO,7,C
50,VERO,8,A
51,VERO,8,B
52,VERO,8,C
53,PLDE,A,NA
54,PLDE,B,NA
55,HYGL,ABCDEF,NA
56,PLDE,A,NA
57,PLDE,A,NA
58,PLDE,B,NA
59,PLDE,B,NA
60,HYGL,ABCDEF,NA
61,HYGL,ABCDEF,NA
