Product code,Station number,Year,Month,monthly_total_precipitation_mm,Quality
IDCJAC0001,8107,1918,1,1.6,Y
IDCJAC0001,8107,1918,2,108.2,Y
IDCJAC0001,8107,1918,3,53.1,Y
IDCJAC0001,8107,1918,4,75.4,Y
IDCJAC0001,8107,1918,5,34.8,Y
IDCJAC0001,8107,1918,6,107,Y
IDCJAC0001,8107,1918,7,44.3,Y
IDCJAC0001,8107,1918,8,27.2,Y
IDCJAC0001,8107,1918,9,88.9,Y
IDCJAC0001,8107,1918,10,16.5,Y
IDCJAC0001,8107,1918,11,22.9,Y
IDCJAC0001,8107,1918,12,0.5,Y
IDCJAC0001,8107,1919,1,0,Y
IDCJAC0001,8107,1919,2,1.6,Y
IDCJAC0001,8107,1919,3,0,Y
IDCJAC0001,8107,1919,4,16.3,Y
IDCJAC0001,8107,1919,5,16.8,Y
IDCJAC0001,8107,1919,6,89.4,Y
IDCJAC0001,8107,1919,7,72.9,Y
IDCJAC0001,8107,1919,8,100.7,Y
IDCJAC0001,8107,1919,9,7.4,Y
IDCJAC0001,8107,1919,10,10.2,Y
IDCJAC0001,8107,1919,11,22.9,Y
IDCJAC0001,8107,1919,12,29.8,Y
IDCJAC0001,8107,1920,1,1.8,Y
IDCJAC0001,8107,1920,2,0,Y
IDCJAC0001,8107,1920,3,24.9,Y
IDCJAC0001,8107,1920,4,6.4,Y
IDCJAC0001,8107,1920,5,45.9,Y
IDCJAC0001,8107,1920,6,63,Y
IDCJAC0001,8107,1920,7,40.4,Y
IDCJAC0001,8107,1920,8,78.7,Y
IDCJAC0001,8107,1920,9,28.2,Y
IDCJAC0001,8107,1920,10,2.8,Y
IDCJAC0001,8107,1920,11,33.3,Y
IDCJAC0001,8107,1920,12,0,Y
IDCJAC0001,8107,1921,1,1.8,Y
IDCJAC0001,8107,1921,2,24,Y
IDCJAC0001,8107,1921,3,28,Y
IDCJAC0001,8107,1921,4,0,Y
IDCJAC0001,8107,1921,5,189.5,Y
IDCJAC0001,8107,1921,6,38.5,Y
IDCJAC0001,8107,1921,7,32.3,Y
IDCJAC0001,8107,1921,8,31.8,Y
IDCJAC0001,8107,1921,9,35.1,Y
IDCJAC0001,8107,1921,10,21.6,Y
IDCJAC0001,8107,1921,11,0,Y
IDCJAC0001,8107,1921,12,6.9,Y
IDCJAC0001,8107,1922,1,0,Y
IDCJAC0001,8107,1922,2,16.6,Y
IDCJAC0001,8107,1922,3,1.3,Y
IDCJAC0001,8107,1922,4,16.6,Y
IDCJAC0001,8107,1922,5,21.4,Y
IDCJAC0001,8107,1922,6,30.7,Y
IDCJAC0001,8107,1922,7,53.6,Y
IDCJAC0001,8107,1922,8,15.7,Y
IDCJAC0001,8107,1922,9,7.7,Y
IDCJAC0001,8107,1922,10,0.8,Y
IDCJAC0001,8107,1922,11,0,Y
IDCJAC0001,8107,1922,12,0.3,Y
IDCJAC0001,8107,1923,1,21.3,Y
IDCJAC0001,8107,1923,2,13.2,Y
IDCJAC0001,8107,1923,3,3.6,Y
IDCJAC0001,8107,1923,4,32.5,Y
IDCJAC0001,8107,1923,5,19.6,Y
IDCJAC0001,8107,1923,6,166.8,Y
IDCJAC0001,8107,1923,7,44,Y
IDCJAC0001,8107,1923,8,17,Y
IDCJAC0001,8107,1923,9,30.9,Y
IDCJAC0001,8107,1923,10,3.8,Y
IDCJAC0001,8107,1923,11,0,Y
IDCJAC0001,8107,1923,12,1.3,Y
IDCJAC0001,8107,1924,1,0,Y
IDCJAC0001,8107,1924,2,0,Y
IDCJAC0001,8107,1924,3,27.3,Y
IDCJAC0001,8107,1924,4,0.8,Y
IDCJAC0001,8107,1924,5,26.4,Y
IDCJAC0001,8107,1924,6,80.3,Y
IDCJAC0001,8107,1924,7,70.3,Y
IDCJAC0001,8107,1924,8,45.8,Y
IDCJAC0001,8107,1924,9,14.2,Y
IDCJAC0001,8107,1924,10,34.7,Y
IDCJAC0001,8107,1924,11,7.7,Y
IDCJAC0001,8107,1924,12,1,Y
IDCJAC0001,8107,1925,1,67.6,Y
IDCJAC0001,8107,1925,2,27.7,Y
IDCJAC0001,8107,1925,3,13.5,Y
IDCJAC0001,8107,1925,4,1.8,Y
IDCJAC0001,8107,1925,5,41.6,Y
IDCJAC0001,8107,1925,6,106.1,Y
IDCJAC0001,8107,1925,7,39.1,Y
IDCJAC0001,8107,1925,8,16.5,Y
IDCJAC0001,8107,1925,9,43.2,Y
IDCJAC0001,8107,1925,10,6.8,Y
IDCJAC0001,8107,1925,11,3.3,Y
IDCJAC0001,8107,1925,12,40.2,Y
IDCJAC0001,8107,1926,1,7.9,Y
IDCJAC0001,8107,1926,2,12.5,Y
IDCJAC0001,8107,1926,3,14.3,Y
