Site,Plot,Species,C_E_or_T,Rep,No_viable_seeds,No_inviable_seeds,Counted_by,Notes
7,C,PEAI,C,3,19,0,TH,
7,C,PEAI,E,2,14,4,TH,
7,C,VERO,C,3,9,5,TH,
3,C,TROR,E,3,10,0,TH,
3,C,TROR,C,3,23,0,TH,
7,C,HYGL,E,1,15,9,TH,
2,C,TROR,E,3,14,8,TH,
2,B,VERO,T,1,50,13,TH,
7,C,PEAI,E,1,50,3,TH,
3,C,TRCY,C,1,15,9,TH,
6,B,ARCA,C,3,0,0,TH,
2,A,LARO,T,1,2,7,TH,
1,B,LARO,T,2,5,16,TH,
6,A,TRCY,T,1,2,0,TH,
2,A,HYGL,E,2,4,9,TH,
6,A,TRCY,E,1,23,1,TH,
6,C,HYGL,C,1,1,3,TH,
2,B,TROR,E,3,3,1,TH,
7,A,PEAI,E,1,18,2,TH,
3,A,PLDE,T,1,25,0,TH,
1,B,HYGL,C,1,31,1,TH,
4,B,ARCA,T,2,14,5,TH,
8,C,VERO,E,1,3,0,TH,
7,C,LARO,T,2,4,3,TH,
7,A,PEAI,E,2,14,0,TH,
2,C,TRCY,E,1,13,2,TH,
3,B,TRCY,C,1,11,4,TH,
3,C,TRCY,C,3,54,7,TH,
2,A,PEAI,T,1,16,0,TH,
7,C,VERO,C,1,8,6,TH,
2,B,VERO,E,3,23,9,TH,
2,B,PEAI,E,2,102,6,TH,
6,A,LARO,T,2,2,10,TH,
7,A,TROR,E,3,12,0,TH,
3,C,TROR,T,2,2,0,TH,
7,C,VERO,T,2,15,1,TH,
6,A,PEAI,E,2,7,0,TH,
6,B,LARO,T,1,2,9,TH,
8,B,LARO,E,1,3,46,TH,
3,B,HYGL,E,1,14,0,TH,
6,B,HYGL,E,3,24,12,TH,
4,C,POLE,E,2,0,11,TH,
7,C,POLE,E,1,9,37,TH,
1,B,PLDE,E,1,30,0,TH,
8,C,TRCY,E,3,29,7,TH,
7,C,ARCA,E,3,16,1,TH,
3,A,ARCA,E,2,0,19,TH,
3,A,PLDE,C,3,0,35,TH,
7,C,VERO,E,2,14,1,TH,
4,B,PLDE,C,1,0,0,TH,
6,B,VERO,T,2,17,2,TH,
8,A,VERO,E,2,23,5,TH,
7,A,VERO,C,3,8,5,TH,
7,C,TROR,C,3,2,1,TH,
5,A,HYGL,UNKNOWN,UNKNOWN,26,2,TH,
8,C,HYGL,E,2,30,40,TH,
7,A,VERO,C,1,14,0,TH,
7,A,TROR,T,1,5,1,TH,
7,C,LARO,T,1,5,13,TH,
5,A,TRCY ,E,2,2,0,TH,
7,A,VERO,C,2,19,3,TH,
7,C,LARO,E,1,0,7,TH,
6,A,PEAI,T,2,27,0,TH,
8,B,TRCY,C,1,15,9,TH,
6,C,LARO,E,2,0,9,TH,
7,A,VERO,E,3,6,2,TH,
8,B,TROR,E,1,32,13,TH,
2,A,VERO,E,1,7,3,TH,
2,A,TRCY,E,1,4,0,TH,
7,B,PEAI,C,3,4,0,TH,
7,A,TROR,E,1,29,0,TH,
8,B,TROR,C,2,7,1,TH,
7,B,PEAI,C,2,8,0,TH,
7,C,PEAI,C,2,6,0,TH,
1,B,PLDE,E,3,51,0,TH,
2,C,VERO,E,2,30,13,TH,
6,A,VERO,T,2,46,11,TH,
5,B,VERO,E,1,9,0,TH,
1,B,PEAI,C,3,235,11,TH,
2,A,PEAI,C,1,15,3,TH,
2,C,PEAI,C,3,169,5,TH,
4,C,VERO,E,3,19,2,TH,
2,C,PEAI,E,3,51,34,TH,
5,B,ARCA,E,1,1,15,TH,
2,C,ARCA,E,2,19,22,TH,
6,B,TROR,T,1,3,0,TH,
6,C,TRCY,E,1,7,5,TH,
4,C,TRCY,E,2,18,9,TH,
1,B,VERO,E,1,0,0,TH,
2,B,VERO,E,1,70,4,TH,
5,A,LARO,E,2,1,22,TH,
1,B,LARO,E,2,8,8,TH,
2,C,VERO,C,1,26,5,TH,
1,C,ARCA,T,2,0,28,TH,
1,A,VERO,T,2,32,3,TH,
2,C,ARCA,C,2,0,0,TH,
6,A,VERO,T,1,42,0,TH,
7,A,VERO,E,2,7,0,TH,
1,A,PLDE,E,1,35,0,TH,
1,B,LARO,C,1,63,99,TH,
6,B,TRCY,T,1,0,8,TH,
4,B,VERO,E,3,2,0,TH,
3,B,VERO,E,2,3,4,TH,
