Species,Collection_site,Collection_plot,Individual,Leaf,Fresh_mass_mg,Dry_mass_mg,Leaf_area_cm2
HYGL,A,NA,1,1,2.2,0.43,0.058
HYGL,A,NA,1,2,1.1,0.304,0.035
HYGL,A,NA,1,3,2.1,0.46,0.054
HYGL,A,NA,2,1,2.1,0.404,0.055
HYGL,A,NA,2,2,1,0.23,0.039
HYGL,A,NA,2,3,1.4,0.282,0.038
HYGL,A,NA,3,1,0.9,0.18,0.034
HYGL,A,NA,3,2,1.6,0.306,0.048
HYGL,A,NA,3,3,1.2,0.312,0.056
HYGL,A,NA,4,1,0.8,0.16,0.025
HYGL,A,NA,4,2,0.7,0.184,0.031
HYGL,A,NA,4,3,1.5,0.286,0.042
HYGL,A,NA,5,1,1.3,0.294,0.038
HYGL,A,NA,5,2,0.5,0.218,0.029
HYGL,A,NA,5,3,1,0.318,0.04
HYGL,B,NA,1,1,1.4,0.262,0.041
HYGL,B,NA,1,2,1.1,0.31,0.039
HYGL,B,NA,1,3,1.6,0.366,0.055
HYGL,B,NA,2,1,1,0.118,0.03
HYGL,B,NA,2,2,0.4,0.088,0.024
HYGL,B,NA,2,3,0.8,0.128,0.028
HYGL,B,NA,3,1,1.4,0.22,0.035
HYGL,B,NA,3,2,1.3,0.2,0.038
HYGL,B,NA,3,3,1,0.224,0.038
HYGL,B,NA,4,1,1.4,0.248,0.046
HYGL,B,NA,4,2,1.3,0.22,0.04
HYGL,B,NA,4,3,1.5,0.318,0.056
HYGL,B,NA,5,1,0.5,0.176,0.027
HYGL,B,NA,5,2,0.8,0.2,0.029
HYGL,B,NA,5,3,0.6,0.198,0.03
HYGL,C,NA,1,1,0.8,0.168,0.035
HYGL,C,NA,1,2,0.8,0.192,0.041
HYGL,C,NA,1,3,1,0.174,0.043
HYGL,C,NA,2,1,0.3,0.086,NA
HYGL,C,NA,2,2,0.5,0.116,NA
HYGL,C,NA,2,3,0.7,0.142,NA
HYGL,C,NA,3,1,0.5,0.096,0.021
HYGL,C,NA,3,2,0.2,0.118,0.027
HYGL,C,NA,3,3,0.7,0.136,0.032
HYGL,C,NA,4,1,2.2,0.33,0.055
HYGL,C,NA,4,2,2.9,0.48,0.082
HYGL,C,NA,4,3,0.8,0.136,0.027
HYGL,C,NA,5,1,2.3,0.35,0.062
HYGL,C,NA,5,2,1.3,0.25,0.048
HYGL,C,NA,5,3,1.4,0.236,0.049
HYGL,D,NA,1,1,0.9,0.15,0.033
HYGL,D,NA,1,2,0.7,0.104,0.024
HYGL,D,NA,1,3,0.5,0.134,0.03
HYGL,D,NA,2,1,1,0.14,0.034
HYGL,D,NA,2,2,1.5,0.21,0.04
HYGL,D,NA,2,3,1,0.194,0.036
HYGL,D,NA,3,1,2.5,0.312,0.068
HYGL,D,NA,3,2,3.3,0.418,0.081
HYGL,D,NA,3,3,2.1,0.294,0.065
HYGL,D,NA,4,1,1.6,0.236,0.051
HYGL,D,NA,4,2,1.3,0.28,0.045
HYGL,D,NA,4,3,1.8,0.318,0.062
HYGL,D,NA,5,1,0.4,0.124,0.02
HYGL,D,NA,5,2,0.6,0.166,0.032
HYGL,D,NA,5,3,1.3,0.18,0.036
HYGL,E,NA,1,1,0.5,0.114,0.025
HYGL,E,NA,1,2,0.3,0.112,0.023
HYGL,E,NA,1,3,0.4,0.154,0.029
HYGL,E,NA,2,1,0.6,0.11,0.025
HYGL,E,NA,2,2,0.2,0.128,0.03
HYGL,E,NA,2,3,0.4,0.118,0.031
HYGL,E,NA,3,1,0.4,0.14,0.021
HYGL,E,NA,3,2,0.7,0.17,0.025
HYGL,E,NA,3,3,0.8,0.162,0.033
HYGL,E,NA,4,1,0.4,0.106,0.023
HYGL,E,NA,4,2,0.6,0.162,0.028
HYGL,E,NA,4,3,0.3,0.18,0.032
HYGL,E,NA,5,1,0.6,0.172,0.027
HYGL,E,NA,5,2,0.6,0.196,0.035
HYGL,E,NA,5,3,0.6,0.12,0.021
HYGL,F,NA,1,1,0.9,0.196,0.033
HYGL,F,NA,1,2,0.5,0.168,0.032
HYGL,F,NA,1,3,0.5,0.19,0.036
HYGL,F,NA,2,1,1,0.162,0.032
HYGL,F,NA,2,2,0.7,0.178,0.033
HYGL,F,NA,2,3,0.7,0.206,0.043
HYGL,F,NA,3,1,0.4,0.15,0.023
HYGL,F,NA,3,2,0.6,0.164,0.026
HYGL,F,NA,3,3,0.4,0.128,0.019
HYGL,F,NA,4,1,0.3,0.124,0.024
HYGL,F,NA,4,2,0.2,0.128,0.026
HYGL,F,NA,4,3,0.6,0.132,0.029
HYGL,F,NA,5,1,0.2,0.076,0.02
HYGL,F,NA,5,2,0.5,0.142,0.027
HYGL,F,NA,5,3,0.4,0.16,0.028
LARO,A,NA,1,1,14,1.376,0.291
LARO,A,NA,1,2,13.5,1.232,0.261
LARO,A,NA,1,3,27.4,2.54,0.447
LARO,A,NA,2,1,29.6,2.664,0.642
LARO,A,NA,2,2,28.5,2.538,0.513
LARO,A,NA,2,3,20.9,1.638,0.463
LARO,A,NA,3,1,16.8,1.53,0.32
LARO,A,NA,3,2,21,1.896,0.307
LARO,A,NA,3,3,22.6,1.73,0.367
LARO,A,NA,4,1,11,1.13,0.258
LARO,A,NA,4,2,28.8,2.5,0.503
LARO,A,NA,4,3,9.4,1.032,0.242
LARO,A,NA,5,1,5.2,0.632,0.128
LARO,A,NA,5,2,11.9,1.216,0.244
LARO,A,NA,5,3,8.9,0.97,0.198
LARO,B,NA,1,1,8.6,0.686,0.181
LARO,B,NA,1,2,15.3,1.196,0.294
LARO,B,NA,1,3,18.8,1.476,0.4
LARO,B,NA,2,1,5.9,0.584,0.153
LARO,B,NA,2,2,8.7,0.87,0.21
LARO,B,NA,2,3,16.4,1.368,0.296
LARO,B,NA,3,1,7,0.64,0.147
LARO,B,NA,3,2,2.8,0.366,0.11
LARO,B,NA,3,3,5,0.458,0.148
LARO,B,NA,4,1,3.3,0.34,0.104
LARO,B,NA,4,2,5.7,0.582,0.16
LARO,B,NA,4,3,10.4,0.902,0.273
LARO,B,NA,5,1,4.2,0.49,0.149
LARO,B,NA,5,2,6.7,0.636,0.201
LARO,B,NA,5,3,8.2,0.778,0.23
LARO,C,NA,1,1,5.2,0.516,0.135
LARO,C,NA,1,2,9.3,0.828,0.204
LARO,C,NA,1,3,10.8,0.986,0.242
LARO,C,NA,2,1,13.2,1.294,0.279
LARO,C,NA,2,2,14,1.408,0.279
LARO,C,NA,2,3,7.9,0.844,0.183
LARO,C,NA,3,1,13.9,1.368,0.243
LARO,C,NA,3,2,9.2,1.156,0.166
LARO,C,NA,3,3,14.7,1.808,0.277
LARO,C,NA,4,1,16.9,1.924,0.312
LARO,C,NA,4,2,16.7,1.856,0.342
LARO,C,NA,4,3,10.3,1.192,0.233
LARO,C,NA,5,1,7.5,0.784,0.148
LARO,C,NA,5,2,5,0.638,0.106
LARO,C,NA,5,3,10.3,1.202,0.197
LARO,D,NA,1,1,7.6,0.76,0.2
LARO,D,NA,1,2,14.9,1.278,0.332
LARO,D,NA,1,3,17.7,1.348,0.378
LARO,D,NA,2,1,11.1,1.034,0.214
LARO,D,NA,2,2,5.7,0.52,0.149
LARO,D,NA,2,3,13,1.146,0.262
LARO,D,NA,3,1,15.9,1.51,0.317
LARO,D,NA,3,2,7,0.668,0.161
LARO,D,NA,3,3,22.7,2.146,0.407
LARO,D,NA,4,1,17.7,1.182,0.32
LARO,D,NA,4,2,16.4,1.152,0.302
LARO,D,NA,4,3,21.4,1.452,0.316
LARO,D,NA,5,1,16.8,1.848,0.307
LARO,D,NA,5,2,11.7,1.12,0.228
LARO,D,NA,5,3,9.7,1.034,0.196
LARO,E,NA,1,1,28.8,2.736,0.478
LARO,E,NA,1,2,29.5,2.778,0.471
LARO,E,NA,1,3,6.6,0.81,0.165
LARO,E,NA,2,1,7.2,0.63,0.162
LARO,E,NA,2,2,4,0.228,0.099
