year,genus,species,researcher,location,field_chambers,treatment_type_1,treatment_1,treatment_type_2,treatment_2,treatment_type_3,Treatment_3,field_number_seeds,field_seeds_scaled_viability,field_number_germinants,chamber_temperature_day,chamber_temperature_night,chamber_light_hrs,chamber_length_days,chamber_number_seeds,chamber_number_germinants,TZ_number_stained,TZ_number_viable,TZ_number_nonviable
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,12,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,10,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2016,Hyalosperma,glutinosum glutinosum,Maia_Raymundo,Perenjori,field,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,9,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
