Family,Taxon,Native,SLA,leaf_area,max_height,seed_mass
Aizoaceae,Mesembryanthemum crystallinum,0,49.58870919,34.65117708,78.93179307,0.104398557
Aizoaceae,Mesembryanthemum nodiflorum,0,49.58870919,34.65117708,97.14363584,0.104398557
Amaranthaceae,Enchylaena tomentosa,1,12.92885128,15.17824557,50,2.298
Amaranthaceae,Ptilotus declinatus,1,23.45790299,17.81003057,86.89068276,1.057288605
Amaranthaceae,Ptilotus drummondii,1,29.2699359,15.07401699,290,1.057288605
Amaranthaceae,Ptilotus exaltatus,1,24.10606365,521.9255083,392.3525604,0.888
Amaranthaceae,Ptilotus gaudichaudii,1,30.75090366,36.47156735,210,0.910374985
Amaranthaceae,Ptilotus holosericeus,1,25.27331445,80.62988167,157.8501082,1.057288605
Amaranthaceae,Ptilotus polystachyus,1,22.47155376,484.6439999,180,1.462
Amaranthaceae,Ptilotus spathulatus,1,24.65765391,50.38853995,17.91384388,1.057288605
Apiaceae,Daucus glochidiatus,1,29.74083574,58.45615543,325,1.684457016
Apocynaceae,Vincetoxicum lineare,1,21.57232094,44.84781384,169.5294045,NA
Araliaceae,Hydrocotyle pilifera,1,50.46152627,74.41299192,80,0.187539597
Araliaceae,Trachymene cyanopetala,1,32.00717531,51.17854703,210,2.4263
Araliaceae,Trachymene ornata,1,36.771476,43.54484259,220,1.68171
Araliaceae,Trachymene pilosa,1,35.9294649,43.26119921,159.2449402,0.526882828
Asparagaceae,Arthropodium curvipes,1,45.79782547,165.9468081,133.9555403,0.32485
Asparagaceae,Arthropodium dyeri,1,42.13588391,172.0759367,218.7897661,0.177255556
Asparagaceae,Dichopogon capillipes,1,40.89688764,1518,130,0.136317778
Asparagaceae,Lomandra effusa,1,5.302057839,1050,184.7984496,16.98216
Asparagaceae,Thysanotus manglesianus,1,33.47414523,30.73969232,129.4904962,0.386707143
Asparagaceae,Thysanotus rectantherus,1,33.47414523,30.73969232,129.4904962,0.386707143
Asphodelaceae,Bulbine semibarbata,1,38.55637398,121.3698546,152.9661202,0.652918889
Asphodelaceae,Caesia micrantha,1,34.51042794,1518,179.4932129,1.375
Asphodelaceae,Chamaescilla versicolor,1,33.95100973,NA,137.962488,0.525018889
Asteraceae,Actinobole uliginosum,1,42.49411783,10.40674253,29.39796596,0.047131865
Asteraceae,Angianthus tomentosus,1,27.29406973,45.76312926,459.3998694,0.3297
Asteraceae,Arctotheca calendula,0,30.13070133,384.4391733,245.451277,1.116985
Asteraceae,Bellida graminea,1,27.81346254,47.10056672,92,1.111495597
Asteraceae,Blennospora drummondii,1,18.61613239,12.49941287,82.98181401,0.623351111
Asteraceae,Brachyscome ciliaris,1,34.79843725,53.62100972,131.8978363,0.181832295
Asteraceae,Brachyscome iberidifolia,1,29.80842627,18.72122686,155,0.074322222
Asteraceae,Brachyscome perpusilla,1,39.78976598,13.5227043,139.4557895,0.44486
Asteraceae,Calocephalus multiflorus,1,54.3711749,19.30176709,95,NA
Asteraceae,Calotis hispidula,1,26.96040993,14.00540081,101.2385654,0.7583
Asteraceae,Calotis multicaulis,1,36.92898797,38.15817124,279.2401931,1.86241
Asteraceae,Cephalipterum drummondii,1,37.2217639,40.63391657,385,0.08014
Asteraceae,Ceratogyne obionoides,1,32.54433152,15.80605541,130.966028,0.297849662
Asteraceae,Chthonocephalus pseudevax,1,34.75470665,11.78021218,4.586625258,0.023065079
Asteraceae,Cotula bipinnata,0,26.21383003,14.56460779,219.8274436,0.078
Asteraceae,Erymophyllum ramosum,1,26.82262299,16.04188307,212.8883117,0.63478
Asteraceae,Gilberta tenuifolia,1,31.33228469,9.290303039,129.7476713,0.53084
Asteraceae,Gilruthia osbornei,1,37.94244829,12.32572518,51.07655965,0.064615357
Asteraceae,Gnephosis tenuissima,1,27.62925566,14.29551795,160,0.013735632
Asteraceae,Hedypnois rhagadioloides,0,57.50067652,207.4731907,312.9951999,0.781225
Asteraceae,Hyalosperma demissum,1,38.10496588,1.081805283,19.09884596,0.028583334
Asteraceae,Hyalosperma glutinosum subsp. glutinosum,1,23.07960412,6.284420475,153.4656558,0.72884
Asteraceae,Hyalosperma glutinosum subsp. venustum,1,27.8814676,30.16774794,165.9083836,0.72884
Asteraceae,Hypochaeris glabra,0,49.13397075,344.4379859,20,0.41599678
Asteraceae,Isoetopsis graminifolia,1,36.18342102,24.09208081,55.02649092,0.60536506
Asteraceae,Lawrencella davenportii,1,36.34048287,183.2780112,104.8789861,4.474185552
Asteraceae,Lawrencella rosea,1,25.35185849,27.54539778,230.9956988,1.278262835
Asteraceae,Millotia myosotidifolia,1,38.41926467,23.97071645,85,0.11897
Asteraceae,Millotia tenuifolia,1,38.41926467,23.97071645,132.5817037,0.11897
Asteraceae,Monoculus monstrosus,0,23.34244313,219.0514383,496.3190311,7.047841667
Asteraceae,Myriocephalus guerinae,1,39.67665159,251.0115446,120.5177753,2.367465556
Asteraceae,Podolepis aristata,1,23.51968369,188.1792312,414.4986364,0.122951111
Asteraceae,Podolepis capillaris,1,15.14224045,11.19825413,230,0.07
Asteraceae,Podolepis lessonii,1,27.47613644,65.12165931,158.9936504,0.030797751
Asteraceae,Podotheca angustifolia,1,23.74629917,71.23833577,110,0.218
Asteraceae,Podotheca gnaphalioides,1,25.21614907,111.5112222,182.4746575,0.247825039
Asteraceae,Pogonolepis muelleriana,1,20.16932913,3.170782121,178.481782,0.037813452
Asteraceae,Quinetia urvillei,1,30.17006197,18.10253395,105,0.5075
Asteraceae,Rhodanthe chlorocephala,1,26.17400643,4.01180157,161.0669352,1.396184442
Asteraceae,Rhodanthe citrina,1,40.15533212,16.96702502,200,0.028908083
Asteraceae,Rhodanthe humboldtiana,1,38.65310141,117.776,280,0.400839711
Asteraceae,Rhodanthe laevis,1,36.61673146,7.757342073,183.1736835,0.04108
Asteraceae,Rhodanthe manglesii,1,37.69070305,103.6880232,182.709577,0.841463719
Asteraceae,Rhodanthe maryonii,1,33.58212385,18.62108294,197.4244355,0.269164676
Asteraceae,Rhodanthe polycephala,1,38.86753007,33.39296494,265.9495228,0.071177778
Asteraceae,Rhodanthe pygmaea,1,42.09934044,3.221029996,43.21651513,1.095432588
Asteraceae,Rhodanthe spicata,1,17.63158886,20.84232879,357.46066,0.6318526
Asteraceae,Schoenia cassiniana,1,25.78087911,133.78852,250,2.345609464
Asteraceae,Senecio glossanthus,1,NA,NA,315.9809512,0.282210278
Asteraceae,Sonchus oleraceus,0,42.03283009,356.5803754,534.9869609,0.25217
Asteraceae,Urospermum picroides,0,39.40670173,217.2020758,502.5540983,1.586010885
Asteraceae,Ursinia anthemoides,0,29.51233634,63.32747261,304.7076898,1.420625763
Asteraceae,Waitzia acuminata,1,22.55649625,113.679287,330,0.081062065
Asteraceae,Waitzia nitida,1,28.04545864,81.79008783,507.4907176,0.106333558
Boraginaceae,Carrichtera annua,0,35.73991031,79.69999999,128.4744898,0.75
Boraginaceae,Echium plantagineum,0,29.69829646,572.722844,496.4885098,3.9520375
Boryaceae,Borya sphaerocephala,1,16.66212278,12.66402413,34.69847818,0.049
Brassicaceae,Brassica tournefortii,0,34.79433214,297.6772489,465.6125,1.31666
Brassicaceae,Lepidium bonariense,0,NA,NA,25,1.72554
Brassicaceae,Menkea sphaerocarpa,1,NA,NA,24.16539678,NA
Boraginaceae,Omphalolappula concava,1,23.43796712,15.68,137.6958292,1.5374
Brassicaceae,Rapistrum rugosum,0,67.11488368,747.19,238.6249037,0.0007
Brassicaceae,Stenopetalum filifolium,1,26.76077429,32.05298743,288.2031174,0.551641111
Campanulaceae,Lobelia gibbosa,1,43.26353578,48.34007559,355.4825696,0.01
Campanulaceae,Wahlenbergia capensis,0,51.01895557,62.31167054,201.5961339,0.005888889
Campanulaceae,Wahlenbergia gracilenta,1,41.21301204,15.94636343,223.9955055,0.007774194
Caryophyllaceae,Petrorhagia dubia,0,29.58160598,29.46588776,325.5392923,0.242804444
Caryophyllaceae,Polycarpon tetraphyllum,0,36.86350973,15.39909554,95.23830818,0.07
Caryophyllaceae,Silene nocturna,0,36.60355939,28.638442,353.7470269,0.33305
Celastraceae,Stackhousia monogyna,1,14.10591236,21.94879963,NA,NA
Colchicaceae,Wurmbea densiflora,1,25.50820449,45.80491527,80.79767827,0.819166667
Colchicaceae,Wurmbea drummondii,1,22.92682066,358.9464702,13.91918359,0.819166667
Colchicaceae,Wurmbea sp. Paynes Find,1,24.18309389,128.224462,120,0.819166667
Crassulaceae,Crassula closiana,1,49.93489255,3.156580428,50,0.005954861
Crassulaceae,Crassula colorata,1,42.41746688,2.580823845,90,0.005954861
Cyperaceae,Schoenus nanus,1,39.53683518,6.444897265,72.59510153,0.081687979
Dilleniaceae,Hibbertia glomerosa,1,25.41285538,20.559,50,3.7928
Droseraceae,Drosera erythrorhiza,1,NA,NA,3,0.1439
Droseraceae,Drosera glanduligera,1,NA,NA,5,0.0326
Droseraceae,Drosera macrantha,1,NA,NA,3.936491673,0.0832
Euphorbiaceae,Euphorbia drummondii,1,29.47981034,12.46567591,90,0.184333333
Fabaceae,Isotropis juncea,1,18.88046665,69.42891079,120,NA
Fabaceae,Medicago minima,0,35.51804408,46.64056031,210,1.058333333
Fabaceae,Medicago polymorpha,0,35.7775165,149.4803451,315.6997065,3.37545
Fabaceae,Trifolium glomeratum,0,36.18660977,81.67317825,182.7152074,0.272862879
Fabaceae,Trifolium hirtum,0,21.00145453,52.50363633,186.7596985,1.243837821
Fabaceae,Trifolium subterraneum,0,33.0229849,110.2765443,120.3993655,5.67
Geraniaceae,Erodium aureum,0,38.0989391,89.9779796,161.2173847,1.035158932
Geraniaceae,Erodium botrys,0,18.80270334,215.8438241,255.025,4.801168387
Geraniaceae,Erodium cicutarium,0,26.86140356,135.6962532,236.433267,3.161286316
Geraniaceae,Erodium cygnorum,1,27.05533579,128.6553068,304.9395004,6.356784994
Goodeniaceae,Brunonia australis,1,28.30623247,51.39047762,28.90908154,1.35
Goodeniaceae,Dampiera lavandulacea,1,11.58926299,72.2292147,177.70666,2.42
Goodeniaceae,Goodenia berardiana,1,28.22361221,93.04150261,284.9780685,2.386042857
Goodeniaceae,Goodenia krauseana,1,23.52792502,78.94439181,148.4539472,0.863
Goodeniaceae,Goodenia occidentalis,1,25.12331988,73.66377505,107.952248,1.02603
