species,plot,no.seeds,no.seeds.visible,no.seeds.unfilled
Velleia rosea,1,49,49,0
Velleia rosea,2,50,50,1
Velleia rosea,3,50,50,1
Velleia rosea,4,49,49,2
Velleia rosea,5,49,46,1
Velleia rosea,6,49,48,2
Velleia rosea,7,51,51,2
Velleia rosea,8,50,50,1
Velleia rosea,9,50,50,2
Velleia rosea,10,50,49,1
Velleia rosea,11,49,49,0
Velleia rosea,12,52,52,1
Velleia rosea,13,49,49,7
Velleia rosea,14,48,48,3
Velleia rosea,15,49,49,0
Velleia rosea,16,49,49,1
Velleia rosea,17,48,48,2
Velleia rosea,18,50,50,6
Velleia rosea,19,49,46,3
Velleia rosea,20,50,50,3
Goodenia berardiana,1,50,50,2
Goodenia berardiana,2,48,46,2
Goodenia berardiana,3,50,50,2
Goodenia berardiana,4,52,52,1
Goodenia berardiana,5,48,47,1
Goodenia berardiana,6,50,50,1
Goodenia berardiana,7,48,47,4
Goodenia berardiana,8,50,48,1
Goodenia berardiana,9,49,49,1
Goodenia berardiana,10,48,48,1
Goodenia berardiana,11,49,48,0
Goodenia berardiana,12,50,50,3
Goodenia berardiana,13,50,49,2
Goodenia berardiana,14,50,50,0
Goodenia berardiana,15,51,51,2
Goodenia berardiana,16,47,47,0
Goodenia berardiana,17,50,50,0
Goodenia berardiana,18,46,45,5
Goodenia berardiana,19,48,48,1
Goodenia berardiana,20,50,50,2
Arctotheca calendula,1,49,49,3
Arctotheca calendula,2,50,50,6
Arctotheca calendula,3,50,50,3
Arctotheca calendula,4,50,48,1
Arctotheca calendula,5,50,50,4
Arctotheca calendula,6,50,50,5
Arctotheca calendula,7,51,50,4
Arctotheca calendula,8,50,50,5
Arctotheca calendula,9,50,50,3
Arctotheca calendula,10,50,49,5
Arctotheca calendula,11,50,50,2
Arctotheca calendula,12,50,50,7
Arctotheca calendula,13,50,50,7
Arctotheca calendula,14,53,53,4
Arctotheca calendula,15,51,51,6
Arctotheca calendula,16,50,50,3
Arctotheca calendula,17,52,52,8
Arctotheca calendula,18,50,50,6
