"","Species","Site","Plot","Neighbours01","No_viable_seeds_grouped","log_seeds","total_no_nbh","total_nbh","plot_fecundity_no_nbh","mean_plot_fec_no_nbh","plot_fecundity_nbh","mean_plot_fec_nbh"
"1","PLDE","1","A","0",35,3.55534806148941,173,12,52.2901677497857,57.6666666666667,12,12
"2","PEAI","1","A","1",26,3.25809653802148,597,105,289.810282771333,298.5,22.4982714721502,35
"3","PLDE","1","A","0",43,3.76120011569356,173,12,52.2901677497857,57.6666666666667,12,12
"4","VERO","1","A","0",9,2.19722457733622,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"5","HYGL","1","A","1",10,2.30258509299405,0,10,NA,NA,10,10
"6","TRCY","1","A","0",31,3.43398720448515,33,18,7.87400787401181,16.5,4.93242414866094,6
"7","PEAI","1","A","0",227,5.4249500174814,597,105,289.810282771333,298.5,22.4982714721502,35
"8","VERO","1","A","0",32,3.46573590279973,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"9","TROR","1","A","0",2,0.693147180559945,2,7,1.41421356237309,1,2.44948974278318,3.5
"10","TRCY","1","A","1",6,1.79175946922805,33,18,7.87400787401181,16.5,4.93242414866094,6
"11","TROR","1","A","1",6,1.79175946922805,2,7,1.41421356237309,1,2.44948974278318,3.5
"12","PLDE","1","A","1",12,2.484906649788,173,12,52.2901677497857,57.6666666666667,12,12
"13","TRCY","1","A","1",10,2.30258509299405,33,18,7.87400787401181,16.5,4.93242414866094,6
"14","VERO","1","A","1",13,2.56494935746154,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"15","LARO","1","A","1",12,2.484906649788,9,21,9,9,10.3923048454133,10.5
"16","VERO","1","A","1",13,2.56494935746154,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"17","VERO","1","A","0",10,2.30258509299405,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"18","ARCA","1","A","1",0,0,20,0,9.53939201416945,10,0,0
"19","VERO","1","A","1",35,3.55534806148941,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"20","ARCA","1","A","0",7,1.94591014905531,20,0,9.53939201416945,10,0,0
"21","PLDE","1","A","0",95,4.55387689160054,173,12,52.2901677497857,57.6666666666667,12,12
"22","PEAI","1","A","0",370,5.91350300563827,597,105,289.810282771333,298.5,22.4982714721502,35
"23","ARCA","1","A","1",0,0,20,0,9.53939201416945,10,0,0
"24","ARCA","1","A","0",13,2.56494935746154,20,0,9.53939201416945,10,0,0
"25","LARO","1","A","0",9,2.19722457733622,9,21,9,9,10.3923048454133,10.5
"26","PEAI","1","A","1",73,4.29045944114839,597,105,289.810282771333,298.5,22.4982714721502,35
"27","TROR","1","A","1",1,0,2,7,1.41421356237309,1,2.44948974278318,3.5
"28","LARO","1","A","1",9,2.19722457733622,9,21,9,9,10.3923048454133,10.5
"29","TROR","1","A","0",0,0,2,7,1.41421356237309,1,2.44948974278318,3.5
"30","TRCY","1","A","1",2,0.693147180559945,33,18,7.87400787401181,16.5,4.93242414866094,6
"31","VERO","1","A","0",17,2.83321334405622,68,61,14.8751156961897,17,18.0849890296442,20.3333333333333
"32","TRCY","1","A","0",2,0.693147180559945,33,18,7.87400787401181,16.5,4.93242414866094,6
"33","PEAI","1","A","1",6,1.79175946922805,597,105,289.810282771333,298.5,22.4982714721502,35
"34","PLDE","1","B","0",14,2.63905732961526,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"35","ARCA","1","B","1",17,2.83321334405622,64,17,16.3316209042784,21.3333333333333,17,17
"36","HYGL","1","B","1",31,3.43398720448515,38,31,38,38,5.56776436283002,15.5
"37","PLDE","1","B","0",89,4.48863636973214,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"38","TRCY","1","B","1",4,1.38629436111989,11,37,11,11,10.1315940382018,12.3333333333333
"39","HYGL","1","B","0",38,3.63758615972639,38,31,38,38,5.56776436283002,15.5
"40","ARCA","1","B","0",11,2.39789527279837,64,17,16.3316209042784,21.3333333333333,17,17
"41","PLDE","1","B","1",14,2.63905732961526,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"42","LARO","1","B","1",0,0,45,72,10.0594674374635,11.25,8.27677252914336,24
"43","PEAI","1","B","1",235,5.45958551414416,9,615,9,9,298.831055949679,307.5
"44","LARO","1","B","0",16,2.77258872223978,45,72,10.0594674374635,11.25,8.27677252914336,24
"45","TRCY","1","B","1",20,2.99573227355399,11,37,11,11,10.1315940382018,12.3333333333333
"46","HYGL","1","B","1",0,0,38,31,38,38,5.56776436283002,15.5
"47","TROR","1","B","0",16,2.77258872223978,16,0,16,16,NA,NA
"48","PEAI","1","B","1",380,5.94017125272043,9,615,9,9,298.831055949679,307.5
"49","LARO","1","B","1",63,4.14313472639153,45,72,10.0594674374635,11.25,8.27677252914336,24
"50","PLDE","1","B","1",7,1.94591014905531,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"51","PLDE","1","B","0",20,2.99573227355399,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"52","VERO","1","B","0",26,3.25809653802148,26,24,26,26,11.8321595661992,12
"53","LARO","1","B","0",8,2.07944154167984,45,72,10.0594674374635,11.25,8.27677252914336,24
"54","LARO","1","B","0",16,2.77258872223978,45,72,10.0594674374635,11.25,8.27677252914336,24
"55","TRCY","1","B","1",13,2.56494935746154,11,37,11,11,10.1315940382018,12.3333333333333
"56","POLE","1","B","1",130,4.86753445045558,290,130,290,290,130,130
"57","LARO","1","B","1",9,2.19722457733622,45,72,10.0594674374635,11.25,8.27677252914336,24
"58","ARCA","1","B","0",44,3.78418963391826,64,17,16.3316209042784,21.3333333333333,17,17
"59","ARCA","1","B","0",9,2.19722457733622,64,17,16.3316209042784,21.3333333333333,17,17
"60","POLE","1","B","0",290,5.66988092298052,290,130,290,290,130,130
"61","LARO","1","B","0",5,1.6094379124341,45,72,10.0594674374635,11.25,8.27677252914336,24
"62","PLDE","1","B","0",30,3.40119738166216,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"63","VERO","1","B","1",14,2.63905732961526,26,24,26,26,11.8321595661992,12
"64","PLDE","1","B","1",4,1.38629436111989,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"65","PLDE","1","B","0",51,3.93182563272433,204,25,32.8282622209382,40.8,7.31861142004594,8.33333333333333
"66","TRCY","1","B","0",11,2.39789527279837,11,37,11,11,10.1315940382018,12.3333333333333
"67","PEAI","1","B","0",9,2.19722457733622,9,615,9,9,298.831055949679,307.5
"68","VERO","1","B","1",10,2.30258509299405,26,24,26,26,11.8321595661992,12
"69","VERO","1","C","1",5,1.6094379124341,3,68,3,3,16.9386485198585,22.6666666666667
"70","LARO","1","C","0",2,0.693147180559945,2,13,1.41421356237309,1,6.48074069840786,6.5
"71","VERO","1","C","0",3,1.09861228866811,3,68,3,3,16.9386485198585,22.6666666666667
"72","PEAI","1","C","1",50,3.91202300542815,14,72,14,14,33.166247903554,36
"73","ARCA","1","C","0",1,0,1,0,0,0.333333333333333,NA,NA
"74","POLE","1","C","0",21,3.04452243772342,21,0,21,21,NA,NA
"75","TROR","1","C","1",4,1.38629436111989,0,4,NA,NA,2,2
"76","PEAI","1","C","1",22,3.09104245335832,14,72,14,14,33.166247903554,36
"77","TRCY","1","C","1",6,1.79175946922805,9,33,3,4.5,8.70658769117361,11
"78","TROR","1","C","1",0,0,0,4,NA,NA,2,2
"79","PEAI","1","C","0",14,2.63905732961526,14,72,14,14,33.166247903554,36
"80","PLDE","1","C","0",26,3.25809653802148,26,16,26,26,4,8
"81","PLDE","1","C","1",16,2.77258872223978,26,16,26,26,4,8
"82","TRCY","1","C","1",5,1.6094379124341,9,33,3,4.5,8.70658769117361,11
"83","TRCY","1","C","1",22,3.09104245335832,9,33,3,4.5,8.70658769117361,11
"84","LARO","1","C","1",7,1.94591014905531,2,13,1.41421356237309,1,6.48074069840786,6.5
"85","ARCA","1","C","0",0,0,1,0,0,0.333333333333333,NA,NA
"86","VERO","1","C","1",36,3.58351893845611,3,68,3,3,16.9386485198585,22.6666666666667
"87","LARO","1","C","1",6,1.79175946922805,2,13,1.41421356237309,1,6.48074069840786,6.5
"88","PLDE","1","C","1",0,0,26,16,26,26,4,8
"89","TRCY","1","C","0",0,0,9,33,3,4.5,8.70658769117361,11
"90","LARO","1","C","0",0,0,2,13,1.41421356237309,1,6.48074069840786,6.5
"91","ARCA","1","C","0",0,0,1,0,0,0.333333333333333,NA,NA
"92","VERO","1","C","1",27,3.29583686600433,3,68,3,3,16.9386485198585,22.6666666666667
"93","TRCY","1","C","0",9,2.19722457733622,9,33,3,4.5,8.70658769117361,11
"94","LARO","2","A","0",2,0.693147180559945,2,0,1.25992104989487,0.666666666666667,0,0
"95","VERO","2","A","0",40,3.68887945411394,108,3,35.3782112398222,36,3,3
"96","HYGL","2","A","1",6,1.79175946922805,10,7,4.89897948556636,5,1.81712059283214,2.33333333333333
"97","HYGL","2","A","0",6,1.79175946922805,10,7,4.89897948556636,5,1.81712059283214,2.33333333333333
"98","TROR","2","A","0",0,0,0,3,0,0,1.41421356237309,1.5
"99","TROR","2","A","1",1,0,0,3,0,0,1.41421356237309,1.5
"100","PEAI","2","A","0",16,2.77258872223978,16,15,16,16,15,15
"101","TRCY","2","A","0",1,0,57,0,4.92429805210492,14.25,0,0
"102","TRCY","2","A","0",49,3.89182029811063,57,0,4.92429805210492,14.25,0,0
"103","LARO","2","A","0",0,0,2,0,1.25992104989487,0.666666666666667,0,0
"104","TROR","2","A","1",2,0.693147180559945,0,3,0,0,1.41421356237309,1.5
"105","PLDE","2","A","0",3,1.09861228866811,7,0,3.46410161513775,3.5,NA,NA
"106","TRCY","2","A","0",3,1.09861228866811,57,0,4.92429805210492,14.25,0,0
