"","Site","Plot","Row","Column","Species.x","C_E_or_T.x","Rep.x","Germinate.x","Done?","Notes.x","Species.y","C_E_or_T.y","Rep.y","Germinate.y","Done","Notes.y"
"1",1,"A",1,1,"TROR","E",1,"8",NA,NA,"TROR","E",1,"8","Y",NA
"2",1,"A",1,2,"PLDE","E",1,"2",NA,NA,"PLDE","E",1,"2",NA,NA
"3",1,"A",1,3,"LARO","E",2,"4",NA,NA,"LARO","C",2,"4",NA,"Swap"
"4",1,"A",1,4,"VERO","E",3,"7",NA,NA,"VERO","E",3,"7","Y",NA
"5",1,"A",1,5,"HYGL","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"6",1,"A",1,6,"TRCY","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"7",1,"A",1,7,"PEAI","C",1,"6",NA,NA,"PEAI","C",1,"6",NA,NA
"8",1,"A",1,8,"PEAI","T",2,"10",NA,NA,"PEAI","T",2,"10",NA,NA
"9",1,"A",1,9,"PEAI","E",1,"1",NA,NA,"PEAI","E",1,"1","Y",NA
"10",1,"A",2,1,"ARCA","T",1,"6",NA,NA,"ARCA","E",3,"6",NA,"Swap"
"11",1,"A",2,2,"PLDE","E",2,"1",NA,NA,"PLDE","E",2,"1",NA,NA
"12",1,"A",2,3,"LARO","T",2,"7",NA,NA,"LARO","E",3,"7","Y","Swap"
"13",1,"A",2,4,"PLDE","C",1,"1",NA,NA,"PLDE","C",1,"1","Y",NA
"14",1,"A",2,5,"VERO","C",2,"2",NA,NA,"VERO","E",1,"2",NA,"Swap"
"15",1,"A",2,6,"HYGL","C",3,"1",NA,NA,"HYGL","C",3,"1",NA,NA
"16",1,"A",2,7,"TRCY","E",2,"10",NA,NA,"TRCY","E",2,"10",NA,NA
"17",1,"A",2,8,"ARCA","C",1,"1",NA,NA,"ARCA","C",1,"1","Y",NA
"18",1,"A",2,9,"PEAI","E",3,"9",NA,NA,"PEAI","E",3,"9",NA,NA
"19",1,"A",3,1,"TROR","C",3,"1",NA,NA,"TROR","C",3,"1","Y",NA
"20",1,"A",3,2,"VERO","T",2,"7",NA,NA,"VERO","T",2,"7",NA,NA
"21",1,"A",3,3,"POLE","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"22",1,"A",3,4,"POLE","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"23",1,"A",3,5,"HYGL","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"24",1,"A",3,6,"TROR","T",2,"5",NA,NA,"TROR","T",2,"5","Y",NA
"25",1,"A",3,7,"TRCY","E",3,"8",NA,NA,"TRCY","C",2,"8",NA,"Swap"
"26",1,"A",3,8,"HYGL","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"27",1,"A",3,9,"TROR","T",1,"7",NA,NA,"TROR","C",2,"7",NA,"Swap"
"28",1,"A",4,1,"TROR","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"29",1,"A",4,2,"PLDE","C",3,"5",NA,NA,"PLDE","C",3,"5",NA,NA
"30",1,"A",4,3,"POLE","E",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"31",1,"A",4,4,"POLE","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"32",1,"A",4,5,"TRCY","C",3,"9",NA,NA,"TRCY","C",3,"9",NA,NA
"33",1,"A",4,6,"VERO","E",1,"2",NA,NA,"VERO","C",2,"2",NA,"Swap"
"34",1,"A",4,7,"LARO","C",3,"6",NA,NA,"LARO","C",3,"6",NA,NA
"35",1,"A",4,8,"VERO","C",1,"1",NA,NA,"VERO","C",1,"1",NA,NA
"36",1,"A",4,9,"PLDE","T",2,"*",NA,NA,"PLDE","T",2,"*",NA,"Actually a VERO"
"37",1,"A",5,1,"VERO","E",2,"1",NA,NA,"VERO","E",2,"1",NA,NA
"38",1,"A",5,2,"TRCY","E",1,"9",NA,NA,"TRCY","E",1,"9","Y",NA
"39",1,"A",5,8,"POLE","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"40",1,"A",5,9,"LARO","C",2,"4",NA,NA,"LARO","E",2,"4",NA,"Swap"
"41",1,"A",6,1,"ARCA","C",2,"4",NA,NA,"ARCA","C",2,"4",NA,NA
"42",1,"A",6,2,"HYGL","E",1,"2",NA,NA,"HYGL","E",1,"2",NA,NA
"43",1,"A",6,8,"ARCA","T",2,"1",NA,NA,"ARCA","T",2,"1",NA,NA
"44",1,"A",6,9,"VERO","C",3,"1",NA,NA,"VERO","C",3,"1",NA,NA
"45",1,"A",7,1,"HYGL","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"46",1,"A",7,2,"HYGL","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"47",1,"A",7,8,"ARCA","E",1,"5",NA,NA,"ARCA","E",1,"5",NA,NA
"48",1,"A",7,9,"ARCA","E",3,"2",NA,NA,"ARCA","T",1,"2","Y","Swap"
"49",1,"A",8,1,"PLDE","E",3,"2",NA,NA,"PLDE","E",3,"2",NA,NA
"50",1,"A",8,2,"PEAI","E",2,"7",NA,NA,"PEAI","E",2,"7",NA,NA
"51",1,"A",8,3,"ARCA","C",3,"2",NA,NA,"ARCA","C",3,"2",NA,NA
"52",1,"A",8,4,"ARCA","E",2,"8",NA,NA,"ARCA","E",2,"8",NA,"Check flower"
"53",1,"A",8,6,"LARO","E",1,"1",NA,NA,"LARO","E",1,"1",NA,NA
"54",1,"A",8,7,"PEAI","C",3,"1",NA,NA,"PEAI","C",3,"1",NA,NA
"55",1,"A",8,8,"PLDE","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"56",1,"A",8,9,"TROR","E",2,"5",NA,NA,"TROR","C",1,"5",NA,"Swap"
"57",1,"A",9,1,"PLDE","T",1,"5",NA,NA,"PLDE","C",2,"5",NA,"Swap"
"58",1,"A",9,2,"PEAI","T",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"59",1,"A",9,3,"LARO","C",1,"2",NA,NA,"LARO","C",1,"2",NA,NA
"60",1,"A",9,4,"POLE","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"61",1,"A",9,6,"TRCY","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"62",1,"A",9,7,"LARO","E",3,"2",NA,NA,"LARO","T",2,"2","Y","Swap"
"63",1,"A",9,8,"TROR","E",3,"1",NA,NA,"TROR","E",3,"1","Y",NA
"64",1,"A",9,9,"TRCY","T",1,"14",NA,NA,"TRCY","C",1,"14",NA,"Swap"
"65",1,"A",10,1,"LARO","T",1,"4",NA,NA,"LARO","C",2,"4","Y","Swap"
"66",1,"A",10,2,"HYGL","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"67",1,"A",10,3,"VERO","T",1,"2",NA,NA,"VERO","T",1,"2",NA,NA
"68",1,"A",10,4,"TROR","C",1,"7",NA,NA,"TROR","E",2,"7",NA,"Swap"
"69",1,"A",10,6,"TRCY","C",2,"10",NA,NA,"TRCY","E",3,"10","Y","Swap. Almost dead, collect soon"
"70",1,"A",10,7,"PEAI","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"71",1,"A",10,8,"POLE","C",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"72",1,"A",10,9,"POLE","C",1,"0",NA,NA,NA,NA,NA,NA,NA,NA
"73",1,"B",1,1,"PLDE","T",2,"1",NA,NA,"PLDE","T",2,"1",NA,NA
"74",1,"B",1,2,"POLE","C",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"75",1,"B",1,3,"TRCY","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"76",1,"B",1,4,"TROR","C",1,"9",NA,NA,"TROR","C",1,"9","Y",NA
"77",1,"B",1,5,"VERO","T",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"78",1,"B",1,6,"HYGL","E",2,"0",NA,NA,NA,NA,NA,NA,NA,NA
"79",1,"B",1,7,"TROR","T",1,"1",NA,NA,"TROR","T",1,"1","Y",NA
"80",1,"B",1,8,"ARCA","C",2,"2",NA,NA,"ARCA","C",2,"2",NA,NA
"81",1,"B",1,9,"HYGL","C",1,"1",NA,NA,"HYGL","C",1,"1",NA,NA
"82",1,"B",2,1,"VERO","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"83",1,"B",2,2,"ARCA","T",1,"4",NA,NA,"ARCA","T",1,"4",NA,NA
"84",1,"B",2,3,"PLDE","E",2,"3",NA,NA,"PLDE","E",2,"3",NA,NA
"85",1,"B",2,4,"TRCY","C",3,"11",NA,NA,"TRCY","C",3,"11",NA,NA
"86",1,"B",2,5,"POLE","E",2,"2?",NA,NA,"POLE","E",2,"2?",NA,"Probably not my seed"
"87",1,"B",2,6,"HYGL","E",3,"0",NA,NA,NA,NA,NA,NA,NA,NA
"88",1,"B",2,7,"HYGL","E",1,"2",NA,NA,"HYGL","E",1,"2",NA,NA
